CISCO,,,,,,Back to Master Plan,
SE Development Program,,,,,,,
,,,,,,,
,,,,,,,
WIRELESS  NETWORK   ,,,,,,,
Level,Session Name,Main Topic,Topic    Description    ,Days,Trainer,Date,
Introductory   ,Part One,Mobility Basics,RF 101 ,3,Mohamed Shoura,,
,,,Wi-Fi Standards,,,,
,,,80.2.11AC,,,,
,,,Clients differences,,,,
,,,"New Products,",,,,
,,,why a Controller,,,,
,,,Product Positioning,,,,
,,,Autonomous/ Central/ Flex / Conveged/Meraki Cloud,,,,
,,,Branche design Focous,,,,
,,,high Avilability,,,,
,,,Cisco Innovation,,,,
,,,Diffrenciating Services,,,,
,,,Case Studies,,,,
,,,dCloud Intro steps,,,,
,,,,,,,
Intermediate Level,Part One,Mobility,Working a Basic Demo enviroment Setup,2,Mohamed Shoura,,
,,,Configuring advanced Meraki features,,,,
,,,QoS - Wired and Wireless,,,,
,,,Voice over WLAN,,,,
,,,New Products in Practice ,,,,
,,, CPI,,,,
,,,UA Network design best practices,,,,
,,, BYOD Services,,,,
,,,Guest WiFi Design,,,,
,,,Mobility SSO,,,,
,,,Cisco's Differentiating Features,,,,
,,,Wireless Security ,,,,
,,,Airmagnet for Wireless Site Survey,,,,
,,,,,,,
,,,,,,,
Expert Level,Part One,Mobility,High Density Wireless Design and Configuration,3,Mohamed Shoura,,
,,,Configuring Cisco CMX,,,,
,,,RF Profiles and RRM fine tuning,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
